Campaign;Campaign ID;Campaign type;Currency code;Audience segment;Clicks;Impr.;Cost
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Lifestyles & Hobbies › Business Professionals;2;65;0.06
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Shoppers › Shoppers by Shop Type › Department Store Shoppers;2;102;0.11
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Shoppers › Shoppers by Shop Type › Grocery Shoppers;2;73;0.11
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Media & Entertainment › Light TV Viewers;2;53;0.03
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Shoppers › Shopping Enthusiasts;2;213;0.09
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Lifestyles & Hobbies › Shutterbugs;2;89;0.13
Saponia Likvi CRO Apr - May 2025 (YT) - CPM;22396650401;In-stream video;EUR;Shoppers › Value Shoppers;1;445;0.73
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;23365196615;Display;EUR;Travel › Business Travellers;1;23;0.06
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;23365196615;Display;EUR;News & Politics;1;232;0.08
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;23365196615;Display;EUR;Vehicles & Transportation;1;6;0.06
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;23365196615;Display;EUR;Job Change;1;45;0.03
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;23365196615;Display;EUR;University Graduation;1;9;0.02
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Banking & Finance;1;51;0.06
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Lifestyles & Hobbies › Green Living Enthusiasts;1;41;0.06
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Home & Garden;1;98;0.07
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Bumper;22088751497;In-stream video;EUR;Natural Hair Care;0;482;0.6
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Bumper;22088751497;In-stream video;EUR;Shampoo;0;713;0.88
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper;22339783192;In-stream video;EUR;Hair Cleaning Products;0;984;1.2
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper;22339783192;In-stream video;EUR;Beauty & Personal Care › Hair Care Products › Hair Colour Products;0;988;1.17
Saponia Nila May 2025 (YT) - CPM;22500191490;In-stream video;EUR;Shoppers › Value Shoppers;0;229;0.18
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Lifestyles & Hobbies › Family-Focused;0;51;0.01
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Lifestyles & Hobbies;0;166;0
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Shoppers › Luxury Shoppers;0;80;0
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Lifestyles & Hobbies › Nightlife Enthusiasts;0;18;0
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Lifestyles & Hobbies › Thrill Seekers;0;81;0.02
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;EUR;Media & Entertainment › Viewership Behaviour;0;1;0
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;Porsche Macan Custom intent ;80,354;5,810,235;2103.93
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;Cars and Vehicles;31,917;1,705,723;1168.53
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;Cars and Vehicles;24,951;1,173,189;936.7
