Campaign ID,Campaign,Age,Gender,Cost,Impr.,Clicks
23200358572,Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC,55 - 64,Female,324.29,494543.0,8907.0
23096285714,HR_HA_VC_HR_25_Q4_Usisavači-VCC_DIS_consideration__Usisavači-VCC-DG_lg.com/hr/usisavaci_20250525-0001__CPC_CLK_google-ads_PRO,45 - 54,Female,459.0,569773.0,8754.0
22553033214,Škoda Superb May-Jun 2025 (DG) - CPC,45 - 54,Male,299.41,657367.0,8682.0
22408558319,Volkswagen Transporter Apr-May 2025 (DN) - CPC,65+,Male,492.52,644837.0,8598.0
22553033214,Škoda Superb May-Jun 2025 (DG) - CPC,35 - 44,Female,287.12,510088.0,8567.0
22999073400,Volkswagen PHEV Sep - Oct 2025 (DG) - CPC,35 - 44,Female,251.33,854359.0,8519.0
23196329174,Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC,55 - 64,Male,298.54,485015.0,8473.0
23160958240,Volkswagen Gume Oct - Dec 2025 (DG) - CPC,55 - 64,Female,348.78,555949.0,8356.0
22408558319,Volkswagen Transporter Apr-May 2025 (DN) - CPC,65+,Female,467.41,517236.0,8300.0
22689917264,HR_HE_TV_HR_25_Q2_OLED-QNED_DIS_consideration__OLED-QNED-TV-DG_https://www.lg.com/hr/oled-evo_20250613-0002__CPC_CLK_google-ads_OTH,45 - 54,Female,329.56,362756.0,8278.0
23247973596,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-DG_lg.com/hr/lg-washtower_consideration_20251030-0003_google-ads_DIS_PRO_CPC_CLK_PRO,35 - 44,Female,277.87,416381.0,8182.0
22470193148,Škoda Elroq Apr - May 2025 (DG) - CPC,55 - 64,Female,237.4,386297.0,8046.0
22536061637,Cupra Formentor PHEV II - May 2025 (DG) - CPC,35 - 44,Female,238.7,363033.0,7938.0
22117372783,GDN-Cupra-Terramar_2025-traffic-13012025-31012025,35 - 44,Female,995.65,929146.0,7831.0
22296172251,Volkswagen AE Boost March 2025 (DG) - CPC,25 - 34,Male,202.43,599144.0,7731.0
23177785397,Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC,25 - 34,Male,281.88,667470.0,7677.0
22360534505,Volkswagen Gume Mar - Apr 2025 (DG) - CPC,55 - 64,Male,230.54,379440.0,7668.0
23242272630,Škoda Akumulator Nov - Dec 2025 (DG) - CPC,65+,Female,244.26,399046.0,7586.0
23242272630,Škoda Akumulator Nov - Dec 2025 (DG) - CPC,65+,Male,237.63,416643.0,7454.0
22397389919,Škoda Servisni paketi - Metlice Apr - May 2025 (DG) - CPC,65+,Female,224.63,401909.0,7433.0
22359572836,Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC,45 - 54,Female,217.74,341614.0,7381.0
22360534505,Volkswagen Gume Mar - Apr 2025 (DG) - CPC,55 - 64,Female,219.02,359268.0,7381.0
22562758033,Škoda Kodiaq May-Jun 2025 (DG) - CPC,45 - 54,Male,259.38,487011.0,7331.0
22562758033,Škoda Kodiaq May-Jun 2025 (DG) - CPC,45 - 54,Female,241.69,378735.0,7001.0
23200358572,Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC,25 - 34,Male,232.39,576736.0,6938.0
22999073400,Volkswagen PHEV Sep - Oct 2025 (DG) - CPC,45 - 54,Female,210.67,485039.0,6841.0
22397389919,Škoda Servisni paketi - Metlice Apr - May 2025 (DG) - CPC,65+,Male,209.95,394939.0,6795.0
23242081674,Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC,55 - 64,Male,210.36,425297.0,6727.0
22509740775,HR_OTH_AC_HR_25_Q2_Klime-Besplatna-Instalacija-DG-RAC_DIS_consideration_BRA_Klime-Besplatna-Instalacija-RAC-DG_lg.com/hr/besplatna-instalacija-klima-uredaja_20250422-0003__CPC_CLK_google-ads_PRO,45 - 54,Male,224.66,314094.0,6687.0
22418687457,Volkswagen Servisni paketi - Ulje Apr - May 2025 (DG) - CPC,65+,Male,238.12,423275.0,6687.0
23247973596,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-DG_lg.com/hr/lg-washtower_consideration_20251030-0003_google-ads_DIS_PRO_CPC_CLK_PRO,45 - 54,Male,245.81,350950.0,6609.0
22117372783,GDN-Cupra-Terramar_2025-traffic-13012025-31012025,45 - 54,Female,907.29,1438900.0,6596.0
23160958240,Volkswagen Gume Oct - Dec 2025 (DG) - CPC,55 - 64,Male,283.55,532907.0,6579.0
22414635975,Volkswagen Tayron - April/May 2025 (DG) - CPC,45 - 54,Female,198.91,460849.0,6567.0
23167636230,HR_HE_TV_HR_25_Q4_OLED-DG_OLED-TV-DG_lg.com/hr/oled-tv_consideration_20251017-0005_google-ads_DIS_PRO_CPC_CLK_PRO,25 - 34,Male,340.79,901018.0,6512.0
22306588951,Volkswagen AE Boost March 2025 (DN) - CPC,45 - 54,Male,517.15,675939.0,6483.0
23177785397,Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC,55 - 64,Female,248.82,299424.0,6338.0
23141475096,Seat Gume Oct - Dec 2025 (DG) - CPC,25 - 34,Male,227.24,596265.0,6334.0
22553033214,Škoda Superb May-Jun 2025 (DG) - CPC,45 - 54,Female,215.79,360235.0,6330.0
23242081674,Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC,55 - 64,Female,197.22,349519.0,6280.0
22536061637,Cupra Formentor PHEV II - May 2025 (DG) - CPC,45 - 54,Female,195.95,301116.0,6207.0
23141475096,Seat Gume Oct - Dec 2025 (DG) - CPC,55 - 64,Male,258.87,329133.0,6206.0
22117372783,GDN-Cupra-Terramar_2025-traffic-13012025-31012025,45 - 54,Male,901.44,1495502.0,6181.0
22364219038,Škoda Gume Mar - Apr 2025 (DG) - CPC,55 - 64,Female,164.75,347171.0,6167.0
22391036373,Volkswagen Servisni paketi - Metlice Apr - May 2025 (DG) - CPC,65+,Female,201.38,401894.0,6166.0
23240403490,Škoda 130 godina Nov - Dec 2025 (GDN) - CPC,35 - 44,Female,468.63,331082.0,6143.0
23200358572,Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC,35 - 44,Male,210.17,441178.0,6138.0
22519678747,HR_OTH_AC_HR_25_Q2_Klime-Besplatna-Instalacija-GDN-RAC_DIS_consideration_BRA_Klime-Besplatna-Instalacija-RAC-GDN_lg.com/hr/besplatna-instalacija-klima-uredaja_20250422-0003__CPC_CLK_gdn_PRO,45 - 54,Female,469.2,338126.0,6109.0
23196329174,Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC,55 - 64,Female,234.83,365174.0,6089.0
23177785397,Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC,55 - 64,Male,245.04,338248.0,6078.0
22306588951,Volkswagen AE Boost March 2025 (DN) - CPC,45 - 54,Female,464.9,603896.0,6034.0
22470193148,Škoda Elroq Apr - May 2025 (DG) - CPC,35 - 44,Male,173.13,416476.0,6028.0
23177785397,Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC,35 - 44,Male,222.24,446472.0,6016.0
23200358572,Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC,45 - 54,Male,219.48,368003.0,5965.0
22306588951,Volkswagen AE Boost March 2025 (DN) - CPC,25 - 34,Male,461.68,501915.0,5819.0
22306588951,Volkswagen AE Boost March 2025 (DN) - CPC,25 - 34,Female,430.29,409532.0,5788.0
22470193148,Škoda Elroq Apr - May 2025 (DG) - CPC,55 - 64,Male,170.52,326112.0,5782.0
23156738063,Volkswagen Metlice Oct - Dec 2025 (DG) - CPC,65+,Female,230.88,326756.0,5773.0
22836207357,Škoda Kodiaq PHEV August 2025 (DG) - CPC,45 - 54,Male,224.92,506182.0,5756.0
23156738063,Volkswagen Metlice Oct - Dec 2025 (DG) - CPC,65+,Male,221.12,318861.0,5728.0
22153504697,Energycom Jan - Feb 2025 (DN) - CPC,35 - 44,Female,352.89,422872.0,5710.0
22364219038,Škoda Gume Mar - Apr 2025 (DG) - CPC,55 - 64,Male,155.92,315754.0,5537.0
23160958240,Volkswagen Gume Oct - Dec 2025 (DG) - CPC,25 - 34,Male,201.25,589689.0,5468.0
23240403490,Škoda 130 godina Nov - Dec 2025 (GDN) - CPC,35 - 44,Male,421.29,511070.0,5410.0
23196329174,Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC,25 - 34,Male,182.29,454317.0,5409.0
22509740775,HR_OTH_AC_HR_25_Q2_Klime-Besplatna-Instalacija-DG-RAC_DIS_consideration_BRA_Klime-Besplatna-Instalacija-RAC-DG_lg.com/hr/besplatna-instalacija-klima-uredaja_20250422-0003__CPC_CLK_google-ads_PRO,35 - 44,Male,172.74,332428.0,5383.0
23247973596,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-DG_lg.com/hr/lg-washtower_consideration_20251030-0003_google-ads_DIS_PRO_CPC_CLK_PRO,45 - 54,Female,195.03,270528.0,5339.0
22414635975,Volkswagen Tayron - April/May 2025 (DG) - CPC,35 - 44,Female,164.89,423206.0,5319.0
22117372783,GDN-Cupra-Terramar_2025-traffic-13012025-31012025,35 - 44,Male,722.72,1012933.0,5284.0
23141475096,Seat Gume Oct - Dec 2025 (DG) - CPC,55 - 64,Female,202.01,250720.0,5210.0
23177785397,Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC,25 - 34,Female,189.47,432272.0,5170.0
22470193148,Škoda Elroq Apr - May 2025 (DG) - CPC,25 - 34,Female,145.58,277264.0,5166.0
23167636230,HR_HE_TV_HR_25_Q4_OLED-DG_OLED-TV-DG_lg.com/hr/oled-tv_consideration_20251017-0005_google-ads_DIS_PRO_CPC_CLK_PRO,35 - 44,Male,280.5,634632.0,5106.0
23155974167,Škoda Gume Oct - Dec 2025 (DG) - CPC,55 - 64,Female,200.09,384556.0,5010.0
22296172251,Volkswagen AE Boost March 2025 (DG) - CPC,45 - 54,Female,128.66,180174.0,4988.0
23196329174,Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC,35 - 44,Male,171.93,391540.0,4929.0
22623704862,202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper,25 - 34,Female,4373.1,2845261.0,4873.0
23196329174,Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC,45 - 54,Male,172.83,362263.0,4848.0
22425339566,Škoda Servisni paketi - Ulje Apr - May 2025 (DG) - CPC,65+,Female,155.32,233050.0,4841.0
23155974167,Škoda Gume Oct - Dec 2025 (DG) - CPC,55 - 64,Male,194.23,384851.0,4815.0
23200358572,Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC,25 - 34,Female,163.67,335043.0,4774.0
22425339566,Škoda Servisni paketi - Ulje Apr - May 2025 (DG) - CPC,65+,Male,150.67,254799.0,4722.0
22623704862,202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper,35 - 44,Female,3903.09,2476267.0,4674.0
23242081674,Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC,25 - 34,Male,136.78,334346.0,4628.0
