Campaign;Campaign ID;Campaign type;Currency code;Age;Gender;Clicks;Impr.;Cost
Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;22162051863;In-stream video;EUR;35 - 44;Male;266;475,964;264.24
Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;22162051863;In-stream video;EUR;25 - 34;Male;256;482,061;261.55
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;35 - 44;Female;241;259,244;88.82
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;In-stream video;EUR;25 - 34;Male;240;631,484;434.9
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;EUR;35 - 44;Female;232;127,325;220.69
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;EUR;35 - 44;Male;230;149,989;118.51
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;In-stream video;EUR;35 - 44;Female;224;272,439;232.92
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;In-stream video;EUR;45 - 54;Male;224;544,114;437.36
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;In-stream video;EUR;45 - 54;Female;222;559,458;591.98
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;25 - 34;Female;221;468,384;130.28
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;25 - 34;Female;213;336,185;100.12
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;In-stream video;EUR;35 - 44;Male;211;335,396;272.74
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;EUR;45 - 54;Female;211;131,220;218.95
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;35 - 44;Male;207;283,456;70.96
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;25 - 34;Male;201;961,186;282.49
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;EUR;25 - 34;Male;199;115,882;218.23
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;In-stream video;EUR;25 - 34;Female;198;233,390;201.94
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;In-stream video;EUR;25 - 34;Male;195;341,613;273.65
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;EUR;25 - 34;Female;193;111,002;181.74
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;EUR;35 - 44;Male;193;105,638;204.55
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;EUR;45 - 54;Male;193;118,002;224.86
Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;22162051863;In-stream video;EUR;45 - 54;Male;187;404,187;225.6
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;EUR;25 - 34;Male;171;107,353;82.02
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;In-stream video;EUR;45 - 54;Female;171;423,132;329.76
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;25 - 34;Male;170;463,119;130.32
Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;22162051863;In-stream video;EUR;45 - 54;Female;157;346,769;213.19
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;25 - 34;Female;154;181,674;61.63
Ahmad Tea Jan - Feb 2025 (YT) - VVC;22132274384;In-stream video;EUR;35 - 44;Male;145;227,408;334.34
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;55 - 64;Unknown;143;3,317;4.66
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;35 - 44;Male;134;260,041;50.46
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;In-stream video;EUR;45 - 54;Male;133;301,363;253.22
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;EUR;35 - 44;Female;132;87,549;185.05
Ahmad Tea Jan - Feb 2025 (YT) - VVC;22132274384;In-stream video;EUR;45 - 54;Male;132;189,495;269.49
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;45 - 54;Unknown;130;3,259;3.71
Ahmad Tea Jan - Feb 2025 (YT) - VVC;22132274384;In-stream video;EUR;25 - 34;Male;123;230,467;357.46
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;35 - 44;Female;121;133,660;31.65
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;EUR;45 - 54;Male;117;124,973;118.93
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;EUR;25 - 34;Female;114;68,756;139.2
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;EUR;45 - 54;Female;110;103,177;98.3
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;In-stream video;EUR;45 - 54;Female;101;226,671;193.98
Ahmad Tea Nov 2025 (YT) - VVC;23247653498;In-stream video;EUR;25 - 34;Male;98;242,153;561.22
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;25 - 34;Unknown;92;8,065;2.42
Ahmad Tea Jan - Feb 2025 (YT) - VVC;22132274384;In-stream video;EUR;35 - 44;Female;91;246,590;355.18
Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;In-stream video;EUR;35 - 44;Male;85;136,201;269.17
