Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
McDonald's MOP Sep - Nov 2025 (YT) - CPV;23038260706;1.5;127,722
McDonald's McCrispy AO Aug - Sep 2025 (YT) - CPV;22886402763;2.7;446,812
T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Shorts;22601647835;3.5;138,426
McDonald's IceCoffe June - August 2025 (YT) - Bumper;22738859515;2.6;1,167,864
T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;22673212687;3.1;390,743
McDonald's Breakfast July - September 2025 (YT) - Bumper;22739492762;2.3;783,841
Nissan QQ Sep - Oct 2025 (DN) - CPM;23027683820;6.3;801,636
McDonald's McDelivery July - September 2025 (YT) - CPV;22732857306;2.3;548,562
McDonald's Mixology July 2025 (YT) - CPV;22761591506;1.6;301,148
McDonald's Employer Image III Aug - Sep 2025 (YT) - CPV;22921320684;2.4;496,676
McDonald's HM Lil McD's July 2025 (YT) - CPV;22784870398;1.7;388,323
T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Shorts;22643794958;5.4;185,336
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;22637616678;3.5;662,643
McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV;22872439121;1.5;154,348
T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI;22911143511;3.8;853,816
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22701067602;5.7;1,267,375
McDonald's Maestro III June-August 2025 (YT) - Bumper;22738160776;2.6;1,181,568
McDonald's Mixology July 2025 (YT) - Bumper;22765251787;1.5;570,151
McDonald's MOP Aug - Sep 2025 (YT) - CPV;22969983779;2.2;443,069
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;1;5,137,000
McDonald's Employer Image IV Sep - Nov 2025 (Performance Max) AO - CPA;23019979679;;
McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper;22866665976;1.2;234,649
McDonald's Coffee July - September 2025 (YT) - CPV;22733053338;2.3;451,914
McDonald's MOP Aug - Sep 2025 (YT) - Bumper;22974152623;2.6;1,035,246
McDonald's Employer Image III Aug - Sep 2025 (Performance Max) - CPA;22927005302;;
McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper;23061820288;1.1;73,336
Zott Jogobella Sept - Oct 2025 (YT) - Bumper - CPM;23001363809;1.6;213,374
McDonald's 1+1 May-Aug 2025 (YT) - CPV;22577682633;2.4;570,986
