Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
JGL Muzej farmacije HR Jul - Aug 2025 (DG) - CPC;JGL Croatia EUR;22738795586;182,172;2.7
VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.;Philips Hrvatska EUR;22725272300;810,385;2.4
McDonald's Pistachio Desert II June - August 2025 (YT) - CPV;McDonald's EUR;22706177735;449,131;2.3
McDonald's Maestro III June-August 2025 (YT) - CPV;McDonald's EUR;22738216012;579,392;2.1
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - Bumper;McDonald's EUR;23062023277;232,317;1.3
Zott Hungry May - Jul 2025 (YT) - Reach Mix;Zott EUR;22588201807;747,993;2.2
Zott Protein Sep - Oct 2025 (YT) - Bumper - CPM;Zott EUR;23008688854;312,520;2.4
Awareness_CPM_Croatia_GoogleAds_Hidra_EquityI-GDN-April-July2025;Croatia_Hidra;22429120937;421,903;2.5
JGL Muzej farmacije TUR Jul - Aug 2025 (DN) - CPC;JGL Croatia EUR;22735542698;1,057;2.2
McDonald's McCrispy AO Aug - Sep 2025 (YT) - Bumper;McDonald's EUR;22892098685;1,006,286;3.1
Zott Protein Sep - Oct 2025 (DN) - CPM;Zott EUR;23008688608;386,321;4.8
McDonald's Employer Image - June - August 2025 Performance Max - CPA;McDonald's EUR;22681905575;;
McDonald's Opusteno Dopusteno II August 2025 (YT) - Bumper;McDonald's EUR;22895981650;975,358;2.3
reflustat_september_2025_youtube_fc_cpm;JGL Croatia EUR;23024710483;277,011;3.6
McDonald's 1+1 May-Aug 2025 (YT) - Bumper;McDonald's EUR;22577658432;957,976;2.5
McDonald's Coffee AO Sep - Dec 2025 (YT) - Bumper;McDonald's EUR;23061447079;48,247;1.2
Nissan QQ July 2025 - Performance Max;Nissan Hrvatska EUR;22769359148;;
McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - Bumper;McDonald's EUR;22684499418;1,509,901;5.8
