Ad format,Campaign,Campaign ID,Avg. impr. freq. / user,Unique users
In-feed,DG_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.,23168792639,2.9,171810.0
Skippable in-stream,VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.,23163601191,2.1,378600.0
In-feed,VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.,23163601191,2.8,567757.0
Bumper,VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.,23163601191,3.2,701110.0
Shorts,VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.,23163601191,2.8,248177.0
Skippable in-stream,VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.,23163446124,1.8,271036.0
In-feed,VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.,23163446124,2.2,507375.0
Bumper,VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.,23163446124,2.3,398209.0
Skippable in-stream,McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - CPV,23159917831,1.9,324191.0
Skippable in-stream,McDonald's Coffee Monday II Oct - Dec 2025 (YT) - CPV,23156569103,2.0,333627.0
In-feed,DG_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.,23156565104,4.0,75774.0
In-feed,McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - Bumper,23151658453,1.2,339765.0
Bumper,McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - Bumper,23151658453,1.4,428267.0
Skippable in-stream,McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - CPV,23151653998,1.8,333210.0
In-feed,McDonald's Coffee Monday II Oct - Dec 2025 (YT) - Bumper,23151276168,1.8,407958.0
Bumper,McDonald's Coffee Monday II Oct - Dec 2025 (YT) - Bumper,23151276168,2.0,453508.0
In-feed,McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - Bumper,23150230785,2.1,487509.0
Bumper,McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - Bumper,23150230785,2.2,429233.0
In-feed,DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 15.10-15.12.2025.,23142265886,2.3,216135.0
Skippable in-stream,VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.,23140105375,1.6,166792.0
In-feed,VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.,23140105375,2.1,387464.0
